Description,Trail Mile,Trip Mile,Total Days,Miles From Last
Bears Den Hostel Shelter,1005.2,1005.2,81.7,2.9
Bluemont  VA 20135,1005.8,1005.8,81.8,0.6
SR 679,1005.9,1005.9,81.8,0.1
SR 7,1005.9,1005.9,81.8,0.0
Rt. 679 / Snickers Gap north side TH,1005.9,1005.9,81.8,0.0
Blackburn Trail Center Shelter,1013.4,1013.4,82.2,7.5
David Lesser Memorial Shelter,1016.6,1016.6,82.4,3.2
VA 9 (Keys Gap) TH,1019.6,1019.6,82.6,3.0
SR 9,1019.7,1019.7,82.6,0.0
County Rd 32,1024.3,1024.3,82.9,4.6
SR 340,1024.9,1024.9,82.9,0.6
Shenandoah Street TH,1025.2,1025.2,82.9,0.3
ATC Headquarters - Harpers Ferry Shelter,1025.6,1025.5,83.0,0.3
Harpers Ferry  WV 25425,1026.1,1026.1,83.0,0.5
US Hwy 340,1027.5,1027.5,83.1,1.5
Keep Tryst Road TH,1029.1,1029.1,83.2,1.6
US Hwy 340,1029.4,1029.4,83.2,0.2
US Hwy 340,1029.4,1029.4,83.2,0.0
Weverton Road TH,1029.5,1029.5,83.2,0.2
Ed Garvey Shelter,1032.5,1032.5,83.4,3.0
Gathland State Park (south parking area) TH,1036.1,1036.1,83.6,3.6
Gathland State Park (north parking area) TH,1036.3,1036.3,83.6,0.2
Crampton Gap Shelter,1036.7,1036.6,83.6,0.4
Rocky Run Shelter,1041.4,1041.4,83.9,4.7
Reno Monument Road (Fox Gap) TH,1042.5,1042.5,84.0,1.1
US Alt. 40 (Turners Gap) TH,1043.6,1043.6,84.1,1.1
US Hwy 40,1043.6,1043.6,84.1,0.0
Dahlgren Chapel TH,1043.6,1043.6,84.1,0.0
Washington Monument Road (Hiker Parking) TH,1045.2,1045.2,84.2,1.6
Washington Monument Road (Main Parking) TH,1045.4,1045.4,84.2,0.2
Boonsboro Mountain Road TH,1047.7,1047.7,84.3,2.3
I-70,1048.5,1048.5,84.4,0.8
I-70,1048.5,1048.5,84.4,0.0
US 40 (Annapolis Rock) TH,1048.6,1048.6,84.4,0.0
US Hwy 40,1048.7,1048.7,84.4,0.1
Pine  Knob Shelter,1049.1,1049.0,84.4,0.4
MD 17 (Wolfsville Road) TH,1057.2,1057.2,84.9,8.1
MD 17 (Wolfsville Road) TH,1057.2,1057.2,84.9,0.0
Ensign Cowall Shelter,1057.5,1057.5,84.9,0.3
Smithsburg  MD 21783/SR 77,1059.1,1059.1,85.0,1.6
Warner Gap Rd TH,1060.8,1060.8,85.1,1.7
SR 491,1061.6,1061.6,85.2,0.8
Devil's Racecourse (old shelter),1062.7,1062.6,85.2,1.0
High Rock Road TH,1064.4,1064.4,85.3,1.8
Cascade  MD 21719/Pen Mar Road TH,1067.6,1067.6,85.5,3.2
PA 16 TH,1070.0,1070.0,85.7,2.4
SR 16,1070.0,1070.0,85.7,0.0
Mentzer Gap Road TH,1070.2,1070.2,85.7,0.2
Deer Lick Shelter,1072.1,1072.1,85.8,1.9
Rattlesnake Run Road (Pipeline) TH,1072.5,1072.5,85.8,0.3
Antietam Shelter,1074.4,1074.4,85.9,1.9
Rattlesnake Run Road TH,1074.9,1074.8,86.0,0.4
Tumbling Run Road (Old Forge Road) TH,1075.5,1075.5,86.0,0.7
Tumbling Run Shelter,1075.5,1075.5,86.0,0.0
Snowy Mountain Road TH,1079.4,1079.4,86.2,3.9
South Mountain  PA 17261,1080.0,1080.0,86.3,0.6
PA 233 TH,1080.4,1080.4,86.3,0.4
Rocky Mountain Shelter,1082.1,1082.1,86.4,1.7
Fayetteville  PA 17222/US Hwy 30,1085.1,1085.1,86.6,3.0
US 30 (Caledonia State Park) TH,1085.4,1085.4,86.6,0.4
Caledonia State Park TH,1085.6,1085.5,86.6,0.1
Quarry Gap Shelter,1087.6,1087.6,86.7,2.0
Milesburn Cabin Shelter,1092.5,1092.5,87.0,4.9
Birch Run Shelter,1094.9,1094.9,87.2,2.4
Shippensburg-Arendtsville Road (Big Flat) TH,1096.3,1096.3,87.3,1.3
Dead Woman's Hollow TH,1097.3,1097.3,87.3,1.0
Tom's Run Shelter,1101.0,1101.0,87.6,3.7
Old Shippensburg Road TH,1102.4,1102.4,87.6,1.4
PA 233 TH,1104.4,1104.4,87.8,2.0
